month,price
12/2016,1.2399
01/2017,1.2374
02/2017,1.2343
03/2017,1.2453
04/2017,1.2475
05/2017,1.2810
06/2017,1.2949
07/2017,1.2664
08/2017,1.3042
09/2017,1.2795
10/2017,1.3564
11/2017,1.317
12/2017,1.3284
01/2018,1.3406
02/2018,1.4223
03/2018,1.3979
04/2018,1.4065
05/2018,1.4234
06/2018,1.3342
07/2018,1.3176
08/2018,1.3049
09/2018,1.2909
10/2018,1.3153
11/2018,1.2912
12/2018,1.2778
01/2019,1.2643
02/2019,1.3062
03/2019,1.3064
04/2019,1.3188
05/2019,1.3049
06/2019,1.2659
07/2019,1.2632
08/2019,1.25
09/2019,1.213
10/2019,1.2483
11/2019,1.2882
12/2019,1.2912
01/2020,1.3071
02/2020,1.314
03/2020,1.2952
04/2020,1.1763
05/2020,1.2327
06/2020,1.227
07/2020,1.254
08/2020,1.2732
09/2020,1.3184
10/2020,1.2763
11/2020,1.3163
12/2020,1.3303
01/2021,1.3497
02/2021,1.3632
03/2021,1.4051
04/2021,1.3721
